,有價證券代號及名稱 ,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,備註
25,00638R　元大滬深300反1,TW00000638R2,2015/05/18,上市,,CEOGDU,
26,00639　富邦深100,TW0000063908,2015/06/09,上市,,CEOGEU,
27,00640L　富邦日本正2,TW00000640L1,2015/09/10,上市,,CEOGDU,
28,00641R　富邦日本反1,TW00000641R6,2015/09/10,上市,,CEOGDU,
29,00642U　期元大S&P石油,TW00000642U8,2015/09/07,上市,,CEOGDU,
30,00643　群益深証中小,TW0000064302,2015/12/02,上市,,CEOGEU,
31,00643K　群益深証中小+R,TW00000643K7,2016/08/26,上市,,CEOGEU,
32,00645　富邦日本,TW0000064500,2015/11/06,上市,,CEOGEU,
33,00646　元大S&P500,TW0000064609,2015/12/14,上市,,CEOGEU,
34,00647L　元大S&P500正2,TW00000647L6,2015/12/14,上市,,CEOGDU,
35,00648R　元大S&P500反1,TW00000648R1,2015/12/14,上市,,CEOGDU,
36,00650L　FH香港正2,TW00000650L0,2016/01/27,上市,,CEOGDU,
37,00651R　FH香港反1,TW00000651R5,2016/01/27,上市,,CEOGDU,
38,00652　富邦印度,TW0000065200,2016/03/29,上市,,CEOGEU,
39,00653L　富邦印度正2,TW00000653L4,2016/03/29,上市,,CEOGEU,
40,00654R　富邦印度反1,TW00000654R9,2016/03/29,上市,,CEOGEU,
41,00655L　國泰中國A50正2,TW00000655L9,2016/03/18,上市,,CEOGDU,
42,00656R　國泰中國A50反1,TW00000656R4,2016/03/18,上市,,CEOGDU,
43,00657　國泰日經225,TW0000065705,2016/05/09,上市,,CEOGEU,
44,00657K　國泰日經225+U,TW00000657K7,2017/10/24,上市,,CEOGEU,
45,00660　元大歐洲50,TW0000066000,2016/07/15,上市,,CEOGEU,
46,00661　元大日經225,TW0000066109,2016/07/15,上市,,CEOGEU,
47,00662　富邦NASDAQ,TW0000066208,2016/06/24,上市,,CEOGEU,
48,00663L　國泰臺灣加權正2,TW00000663L3,2016/07/14,上市,,CEOGDU,
49,00664R　國泰臺灣加權反1,TW00000664R8,2016/07/14,上市,,CEOGDU,
50,00665L　富邦恒生國企正2,TW00000665L8,2016/08/05,上市,,CEOGDU,
51,00666R　富邦恒生國企反1,TW00000666R3,2016/08/05,上市,,CEOGDU,
52,00668　國泰美國道瓊,TW0000066802,2016/10/17,上市,,CEOGEU,
53,00668K　國泰美國道瓊+U,TW00000668K4,2017/10/24,上市,,CEOGEU,
54,00669R　國泰美國道瓊反1,TW00000669R7,2016/10/17,上市,,CEOGEU,
55,00670L　富邦NASDAQ正2,TW00000670L8,2017/02/21,上市,,CEOGDU,
56,00671R　富邦NASDAQ反1,TW00000671R3,2017/02/21,上市,,CEOGDU,
57,00673R　期元大S&P原油反1,TW00000673R9,2016/10/07,上市,,CEOGDU,
58,00674R　期元大S&P黃金反1,TW00000674R7,2016/10/07,上市,,CEOGDU,
59,00675L　富邦臺灣加權正2,TW00000675L7,2016/10/05,上市,,CEOGDU,
60,00676R　富邦臺灣加權反1,TW00000676R2,2016/10/05,上市,,CEOGDU,
61,00678　群益NBI生技,TW0000067800,2017/01/09,上市,,CEOGEU,
62,00680L　元大美債20正2,TW00000680L7,2017/01/17,上市,,CEOGDU,
63,00681R　元大美債20反1,TW00000681R2,2017/01/17,上市,,CEOGDU,
64,00682U　期元大美元指數,TW00000682U4,2017/03/14,上市,,CEOGMU,
65,00683L　期元大美元指正2,TW00000683L1,2017/03/14,上市,,CEOGMU,
66,00684R　期元大美元指反1,TW00000684R6,2017/03/14,上市,,CEOGMU,
67,00685L　群益臺灣加權正2,TW00000685L6,2017/03/30,上市,,CEOGEU,
68,00686R　群益臺灣加權反1,TW00000686R1,2017/03/30,上市,,CEOGEU,
69,00688L　國泰20年美債正2,TW00000688L0,2017/04/13,上市,,CEOGBU,
70,00689R　國泰20年美債反1,TW00000689R5,2017/04/13,上市,,CEOGBU,
71,00690　兆豐藍籌30,TW0000069004,2017/03/31,上市,,CEOGEU,
72,00692　富邦公司治理,TW0000069202,2017/05/17,上市,,CEOGEU,
73,00693U　期街口S&P黃豆,TW00000693U1,2017/04/25,上市,,CEOGCU,
74,00700　富邦恆生國企,TW0000070002,2017/07/21,上市,,CEOGEU,
75,00701　國泰股利精選30,TW0000070101,2017/08/17,上市,,CEOJEU,
76,00702　國泰標普低波高息,TW0000070200,2017/08/17,上市,,CEOJEU,
77,00703　台新MSCI中國,TW0000070309,2017/08/10,上市,,CEOGEU,
78,00706L　期元大S&P日圓正2,TW00000706L0,2017/09/01,上市,,CEOGDU,
79,00707R　期元大S&P日圓反1,TW00000707R5,2017/09/01,上市,,CEOGDU,
80,00708L　期元大S&P黃金正2,TW00000708L6,2017/09/01,上市,,CEOGDU,
81,00709　富邦歐洲,TW0000070903,2017/08/15,上市,,CEOGEU,
82,00710B　FH彭博高收益債,TW00000710B3,2017/08/21,上市,,CEOIBU,
83,00711B　FH彭博新興債,TW00000711B1,2017/08/21,上市,,CEOIBU,
84,00712　FH富時不動產,TW0000071208,2017/08/21,上市,,CEOIEU,
85,00713　元大台灣高息低波,TW0000071307,2017/09/27,上市,,CEOJEU,
86,00714　群益道瓊美國地產,TW0000071406,2017/10/27,上市,,CEOIRU,
87,00715L　期街口S&P布蘭特油正2,TW00000715L1,2017/11/16,上市,,CEOGDU,
88,00717　富邦美國特別股,TW0000071703,2017/11/29,上市,,CEOIEU,
89,00728　第一金工業30,TW0000072800,2018/04/18,上市,,CEOGEU,
90,00730　富邦臺灣優質高息,TW0000073006,2018/02/08,上市,,CEOIEU,
91,00731　FH富時高息低波,TW0000073105,2018/04/20,上市,,CEOIEU,
92,00732　國泰RMB短期報酬,TW0000073204,2018/05/14,上市,,CEOGMU,
93,00733　富邦臺灣中小,TW0000073303,2018/05/17,上市,,CEOIEU,
94,00735　國泰臺韓科技,TW0000073501,2018/06/11,上市,,CEOJEU,
95,00736　國泰新興市場,TW0000073600,2018/06/11,上市,,CEOJEU,
96,00737　國泰AI+ROBO,TW0000073709,2018/06/11,上市,,CEOGEU,
97,00738U　期元大道瓊白銀,TW00000738U4,2018/06/01,上市,,CEOGCU,
98,00739　元大MSCIA股,TW0000073907,2018/06/27,上市,,CEOJEU,
99,00742　新光內需收益,TW0000074202,2018/06/22,上市,,CEOIEU,
100,00743　國泰中國A150,TW0000074301,2018/08/03,上市,,CEOGEU,
101,00752　中信中國50,TW0000075209,2018/10/31,上市,,CEOGEU,
102,00753L　中信中國50正2,TW00000753L2,2018/10/31,上市,,CEOGEU,
103,00757　統一FANG+,TW0000075704,2018/12/06,上市,,CEOGEU,
104,00762　元大全球AI,TW0000076207,2019/01/23,上市,,CEOJEU,
105,00763U　期街口道瓊銅,TW00000763U2,2018/12/19,上市,,CEOGDU,
106,00770　國泰北美科技,TW0000077007,2019/01/29,上市,,CEOJEU,
107,00771　元大US高息特別股,TW0000077106,2019/05/16,上市,,CEOJEU,
108,00774B　新光中國政金綠債,TW00000774B9,2019/02/27,上市,,CEOIBU,
109,00774C　新光中政金綠債+R,TW00000774C7,2019/08/28,上市,,CEOIBU,
110,00775B　新光投等債15+,TW00000775B6,2019/02/15,上市,,CEOIBU,
111,00783　富邦中証500,TW0000078302,2019/03/27,上市,,CEOGEU,
112,008201　BP上證50,HK0000052297,2010/12/08,上市,,CEOGEU,
113,00830　國泰費城半導體,TW0000083005,2019/05/03,上市,,CEOJEU,
114,00850　元大臺灣ESG永續,TW0000085000,2019/08/23,上市,,CEOIEU,
115,00851　台新全球AI,TW0000085109,2019/08/12,上市,,CEOIEU,
116,00852L　國泰美國道瓊正2,TW00000852L2,2019/08/22,上市,,CEOJLU,
117,00861　元大全球未來通訊,TW0000086107,2019/11/19,上市,,CEOJEU,
118,00865B　國泰US短期公債,TW00000865B5,2019/11/25,上市,,CEOGBU,
119,00875　國泰網路資安,TW0000087501,2020/03/30,上市,,CEOGEU,
120,00876　元大未來關鍵科技,TW0000087600,2020/07/07,上市,,CEOJEU,
121,00878　國泰永續高股息,TW0000087808,2020/07/20,上市,,CEOJEU,
122,00881　國泰台灣5G+,TW0000088103,2020/12/10,上市,,CEOJEU,
123,00882　中信中國高股息,TW0000088202,2021/02/04,上市,,CEOIEU,
124,00885　富邦越南,TW0000088509,2021/04/19,上市,,CEOGEU,
125,00891　中信關鍵半導體,TW0000089101,2021/05/28,上市,,CEOIEU,
126,00892　富邦台灣半導體,TW0000089200,2021/06/10,上市,,CEOIEU,
127,00893　國泰智能電動車,TW0000089309,2021/07/01,上市,,CEOGEU,
